HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
J0896_2019,"Injection, luspatercept-aamt, 0.25 mg",Reblozyl,Luspatercept-Aamt,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0897_2019,"Injection, denosumab, 1 mg",Prolia*,Denosumab*,2019,1605325830.0,91766368.0,589773.0,17.493618468,1346.3398562,2721.9384916,1192363.0,0.0
J1000_2019,"Injection, depo-estradiol cypionate, up to 5 mg",Depo-Estradiol,Estradiol Cypionate,2019,274171.32,14096.0,2639.0,19.450292281,19.491775914,103.89212581,14066.0,0.0
J1020_2019,"Injection, methylprednisolone acetate, 20 mg",Depo-Medrol (J1020)*,MethylprednIsolone Acetate*,2019,999440.35,267025.5,112473.0,3.74286482,6.0984248101,8.8860468735,163885.0,0.0
J1030_2019,"Injection, methylprednisolone acetate, 40 mg",Depo-Medrol (J1030)*,MethylprednIsolone Acetate*,2019,17325670.62,2772354.9,1229581.0,6.2494418085,9.1035614802,14.09071108,1903175.0,0.0
J1040_2019,"Injection, methylprednisolone acetate, 80 mg",Depo-Medrol (J1040)*,MethylprednIsolone Acetate*,2019,18949404.17,1572862.9,871234.0,12.047715138,14.050281696,21.750074228,1348685.0,0.0
J1071_2019,"Injection, testosterone cypionate, 1 mg",Depo-Testosterone*,Testosterone Cypionate*,2019,2489039.77,93318262.6,56380.0,0.0266725901,4.8367497134,44.147565981,514610.0,0.0
J1100_2019,"Injection, dexamethasone sodium phosphate, 1 mg",Dexamethasone Sodium Phosphate*,Dexamethasone Sodium Phosp/PF*,2019,2300605.05,19837539.0,1192437.0,0.1159723013,0.9168080239,1.9293304803,2509364.0,0.0
J1110_2019,"Injection, dihydroergotamine mesylate, per 1 mg",D.H.E.45*,Dihydroergotamine Mesylate*,2019,38649.27,781.0,369.0,49.486901408,61.057298578,104.74056911,633.0,1.0
J1120_2019,"Injection, acetazolamide sodium, up to 500 mg",Acetazolamide Sodium,Acetazolamide Sodium,2019,349.65,23.0,13.0,15.202173913,19.425,26.896153846,18.0,1.0
J1160_2019,"Injection, digoxin, up to 0.5 mg",Digoxin*,Digoxin*,2019,376.18,59.0,44.0,6.3759322034,7.3760784314,8.5495454545,51.0,1.0
J1162_2019,"Injection, digoxin immune fab (ovine), per vial",Digifab,Digoxin Immune Fab,2019,904977.57,260.0,78.0,3480.6829615,11455.412278,11602.276538,79.0,0.0
J1165_2019,"Injection, phenytoin sodium, per 50 mg",Phenytoin Sodium,Phenytoin Sodium,2019,103.29,68.0,13.0,1.5189705882,6.0758823529,7.9453846154,17.0,1.0
